"","num.trees","mtry","min.node.size","sample.fraction","mean_accuracy","sd_accuracy","min_accuracy","max_accuracy"
"98",1000,60,5,0.8,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"99",2000,60,5,0.8,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"100",500,100,5,0.8,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"101",1000,100,5,0.8,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"102",2000,100,5,0.8,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"103",500,200,5,0.8,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"104",1000,200,5,0.8,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"105",2000,200,5,0.8,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"106",500,500,5,0.8,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"107",1000,500,5,0.8,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"108",2000,500,5,0.8,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
